OBJECTID,BUSINESS_ID,SCORE,DATE_,DESCRIPTION,TYPE
30998537,75BFDC7E-E8CC-3490-B868DAE86D0DE58C,100,2012/10/24 04:00:00+00,,routine
30998538,011A703F-D8CE-C53D-62B3073DF4809ED4,100,2012/10/25 04:00:00+00,,routine
30998539,336355FE-0EBF-2BD9-89C16910AA2049DC,100,2012/10/30 04:00:00+00,,routine
30998540,500941,100,2012/11/06 05:00:00+00,,routine
30998541,23D6E1F8-DFC2-9B9C-55422A411A405AF7,100,2012/11/09 05:00:00+00,,routine
30998542,D804EFCA-5C21-C187-DF5E692B11ACBB89,100,2012/11/27 05:00:00+00,,routine
30998543,273DB447-C86B-AA84-1B080AA333406F5D,100,2012/11/29 05:00:00+00,,routine
30998544,7C9D87E6-3048-9838-FCD19193BA4A57AB,100,2012/11/29 05:00:00+00,,routine
30998545,899EBB8A-A096-0E13-14A120299C9C87F1,100,2012/12/03 05:00:00+00,,routine
30998546,A745B361-DC2C-1BB6-B05148AC9C86D656,100,2012/12/17 05:00:00+00,,routine
30998547,8334C411-15A0-1497-9928AA005B3081EC,100,2012/12/21 05:00:00+00,,routine
30998548,D61C7A82-D602-1442-8732136A791D4881,100,2012/12/21 05:00:00+00,,routine
30998549,92E05BFE-BF2A-61AD-FE3B51C1D0D02A9B,100,2012/12/31 05:00:00+00,,routine
30998550,6584C5A9-9786-3CEE-206905DA6B5C268E,100,2013/01/04 05:00:00+00,,routine
30998551,AE738462-E648-427C-1B3797843EB8682B,100,2013/01/10 05:00:00+00,,routine
30998552,B58890C3-0C88-594A-267787C060E0791A,100,2013/01/10 05:00:00+00,,routine
30998553,09C7AEAE-E078-149F-E8394F82D33BE4FC,100,2013/01/15 05:00:00+00,,routine
30998554,C0988CE6-9161-6366-98A6433D8793971A,100,2013/01/15 05:00:00+00,,routine
30998555,498237,100,2013/01/23 05:00:00+00,,routine
30998556,F23D2E6D-161D-C3B6-667452B9720DE87B,100,2013/01/25 05:00:00+00,,routine
30998557,501118,100,2013/01/28 05:00:00+00,,routine
30998558,655D882B-BA09-34CD-22959FF0F746A8EF,100,2013/04/12 04:00:00+00,,routine
30998559,7CEBE9B3-1422-201B-19230D9C2A35046B,100,2013/04/12 04:00:00+00,,routine
30998560,1D0424B9-3048-983B-26BBAD475BC1C6F6,100,2013/04/15 04:00:00+00,,routine
30998561,0F37B006-D4E2-7054-55DA2C161E83A4F1,100,2013/04/16 04:00:00+00,,routine
30998562,8D71C1CC-C592-2A12-C5337491D090F761,100,2013/04/16 04:00:00+00,,routine
30998563,BCF6B620-00AE-23A3-59FA133E3264B3DA,100,2013/04/18 04:00:00+00,,routine
30998564,FC6BAD5A-9117-0FA0-0DA9EA96A156E1B0,100,2013/04/19 04:00:00+00,,routine
30998565,5DCA9475-15D1-158B-12D1136DE7725139,100,2013/04/30 04:00:00+00,,routine
30998566,B691B1AE-3048-983B-2647A091CB4DA7BB,100,2013/05/01 04:00:00+00,,routine
30998567,11C40812-1060-9D6F-AE04129347F2A7D2,100,2013/05/03 04:00:00+00,,routine
30998568,497756,100,2013/05/08 04:00:00+00,,routine
30998569,500941,100,2013/05/13 04:00:00+00,,routine
30998570,7A22E62E-DF2F-0B92-FF87E19A9FA02FA9,100,2013/05/17 04:00:00+00,,routine
30998571,3C601E09-1422-201B-199B4BBE1BF35CF8,100,2013/05/24 04:00:00+00,,routine
30998572,9F4BC4B5-3048-94EE-982A6738437D1769,100,2013/05/24 04:00:00+00,,routine
30998573,336355FE-0EBF-2BD9-89C16910AA2049DC,100,2013/06/03 04:00:00+00,,routine
30998574,D6669206-E410-4008-A34770DE2E96FAC1,100,2013/06/03 04:00:00+00,,routine
30998575,23D6E1F8-DFC2-9B9C-55422A411A405AF7,100,2013/06/07 04:00:00+00,,routine
30998576,26301E88-9486-28D6-4337A3B2F1693F52,100,2013/06/19 04:00:00+00,,routine
30998577,499654,100,2013/06/28 04:00:00+00,,routine
30998578,501740,100,2013/07/09 04:00:00+00,,routine
30998579,501118,100,2013/07/17 04:00:00+00,,routine
30998580,500329,100,2013/07/23 04:00:00+00,,routine
30998581,1FF2514A-E49C-E32E-C0DF49DC3C2FE546,100,2013/07/25 04:00:00+00,,routine
30998582,501497,100,2013/08/13 04:00:00+00,,routine
30998583,494737,100,2013/08/14 04:00:00+00,,routine
30998584,131DCD95-D982-714E-9BB092822FC23677,100,2013/08/14 04:00:00+00,,routine
30998585,500846,100,2013/09/04 04:00:00+00,,routine
30998586,495035,81,2014/02/20 05:00:00+00,,routine
30998587,BAF57704-1422-201B-194EA2F8D7034481,81.5,2014/01/08 05:00:00+00,,routine
30998588,495040,81.5,2014/02/27 05:00:00+00,,routine
30998589,509028,82,2013/10/10 04:00:00+00,,followup
30998590,497908,82,2014/01/13 05:00:00+00,,routine
30998591,501097,83,2013/09/12 04:00:00+00,,routine
30998592,C252339A-3048-98E1-5CA044B74CDE19F8,83,2013/12/10 05:00:00+00,,routine
30998593,562DE7A5-F8F0-A41F-6CEF01732087E190,83,2014/02/06 05:00:00+00,,routine
30998594,7111AA91-C38E-66BB-4885C77719D7819B,83,2014/02/07 05:00:00+00,,routine
30998595,509028,84,2013/02/27 05:00:00+00,,routine
30998596,500672,86,2013/11/18 05:00:00+00,,routine
30998597,497789,86,2014/02/19 05:00:00+00,,routine
30998598,88D77601-086B-BDE9-F2928F9671031896,86.5,2013/05/06 04:00:00+00,,routine
30998599,13BD246E-B337-12BD-FF1C160B344A80C4,86.5,2013/06/25 04:00:00+00,,routine
30998600,499885,86.5,2013/09/19 04:00:00+00,,routine
30998601,2C672EEC-1422-201B-196AFB77499FF680,86.5,2013/11/27 05:00:00+00,,routine
30998602,C157F80A-FC68-9AF3-FD279998C6823023,86.5,2013/12/12 05:00:00+00,,routine
30998603,501671,87,2013/03/19 04:00:00+00,,routine
30998604,527138,87,2013/10/07 04:00:00+00,,routine
30998605,501962,87,2013/10/29 04:00:00+00,,routine
30998606,501671,87,2013/12/04 05:00:00+00,,routine
30998607,C252339A-3048-98E1-5CA044B74CDE19F8,87,2014/01/07 05:00:00+00,,followup
30998608,BAF57704-1422-201B-194EA2F8D7034481,87,2014/01/16 05:00:00+00,,followup
30998609,118EAA48-8A96-11A0-B962115131B0B272,87,2014/02/06 05:00:00+00,,routine
30998610,65806D9F-B753-159A-B17080BE2280AF10,88,2013/04/12 04:00:00+00,,routine
30998611,1396FDA8-1749-1448-B4D48A3C3364F60B,88,2013/05/10 04:00:00+00,,routine
30998612,503946,90,2012/11/13 05:00:00+00,,routine
30998613,CE9D7EC4-11C7-153B-1A8BA6ABC0E5AF53,90,2012/12/13 05:00:00+00,,routine
30998614,497995,90,2012/12/14 05:00:00+00,,routine
30998615,501977,90,2013/10/30 04:00:00+00,,routine
30998616,133A8A6C-1657-ECA0-18E0DBA732B14C1E,90,2013/11/13 05:00:00+00,,routine
30998617,117AA727-1100-178D-CBD6C473451776C6,90,2013/11/14 05:00:00+00,,routine
30998618,4C7A1F18-E856-BEFA-5743DF43F06BDF3C,92,2013/06/20 04:00:00+00,,routine
30998619,500463,90,2013/02/21 05:00:00+00,,routine
30998620,A48B1658-1911-F777-1A65E2226FDBC1BD,90,2013/02/21 05:00:00+00,,followup
30998621,509028,90,2013/03/04 05:00:00+00,,followup
30998622,28F92D5D-D180-6A0F-90A902D7D37731F3,90,2013/03/06 05:00:00+00,,routine
30998623,23B35F51-D2BB-C01D-18F3EDE60D69640F,90,2013/03/18 04:00:00+00,,routine
30998624,496653,90,2013/03/19 04:00:00+00,,routine
30998625,495040,90,2013/04/05 04:00:00+00,,routine
30998626,502045,90,2013/04/09 04:00:00+00,,routine
30998627,9711E454-DF9E-8A93-B12A486CF9E69836,90,2013/04/16 04:00:00+00,,routine
30998628,3E488BE4-EA58-EBB5-0F1B2A6C024A1D18,90,2013/04/23 04:00:00+00,,routine
30998629,CE9D7EC4-11C7-153B-1A8BA6ABC0E5AF53,90,2013/06/25 04:00:00+00,,routine
30998630,498419,90,2013/06/26 04:00:00+00,,routine
30998631,496297,90,2013/07/09 04:00:00+00,,routine
30998632,C8A9D635-1422-201B-19F4DBCC53FD0ACC,90,2013/07/11 04:00:00+00,,routine
30998633,13BD246E-B337-12BD-FF1C160B344A80C4,90,2013/07/12 04:00:00+00,,followup
30998634,3AD2A58F-97B8-AC12-F96F04F971A6A6FA,90,2013/07/16 04:00:00+00,,routine
30998635,12306CA5-5E18-9A9C-845686BB2BA12119,90,2013/07/16 04:00:00+00,,routine
30998636,499619,90,2013/07/18 04:00:00+00,,routine
30998637,28E5CC3E-0727-ABF6-35AD3834FBB39D04,90,2013/07/19 04:00:00+00,,routine
30998638,DA2E05F1-E825-5DC9-92E1ABD1EABB435B,90,2013/07/24 04:00:00+00,,routine
30998639,527864,90,2013/07/29 04:00:00+00,,routine
30998640,6627D70B-9B1C-CA7F-C44C27110BCE7418,90.5,2012/11/14 05:00:00+00,,routine
30998641,1228358E-A6F1-1720-8C3FE2A44EB654E9,90.5,2012/11/21 05:00:00+00,,routine
30998642,495296,90.5,2012/12/06 05:00:00+00,,routine
30998643,DF256C36-CD54-33EE-E8AB3CB7291D6D4C,90.5,2013/01/11 05:00:00+00,,routine
30998644,506948,90.5,2013/02/01 05:00:00+00,,routine
30998645,498855,90.5,2013/03/27 04:00:00+00,,routine
30998646,503946,90.5,2013/04/17 04:00:00+00,,routine
30998647,9A6CC56A-DE31-7C97-CD76CC617B922115,90.5,2013/05/09 04:00:00+00,,routine
30998648,1396FDA8-1749-1448-B4D48A3C3364F60B,90.5,2013/05/31 04:00:00+00,,routine
30998649,EF90D1A4-DDC0-9130-24EC342C1E15879B,90.5,2013/06/04 04:00:00+00,,routine
30998650,498881,90.5,2013/06/06 04:00:00+00,,routine
30998651,503760,90.5,2013/06/14 04:00:00+00,,routine
30998652,501564,90.5,2013/06/25 04:00:00+00,,routine
30998653,501438,92.5,2013/11/12 05:00:00+00,,routine
30998654,419B9495-3048-98E7-04B94981720F4DCA,92.5,2013/11/20 05:00:00+00,,routine
30998655,506935,92.5,2013/12/02 05:00:00+00,,routine
30998656,F7F5D095-5056-A20B-FAF4979727C78E39,96.5,2018/11/19 05:00:00+00,,routine
30998657,496655,96.5,2018/11/19 05:00:00+00,,routine
30998658,501513,96.5,2018/11/19 05:00:00+00,,routine
30998659,4EA56E4F-5056-A20B-FA1FDECC850BED15,96.5,2018/11/19 05:00:00+00,,routine
30998660,4964C3FB-9954-7804-4B21BD0C450E5452,97,2018/11/19 05:00:00+00,,routine
30998661,500627,97,2018/11/19 05:00:00+00,,routine
30998662,7C433793-5056-A20B-FA440E6B3C4B8460,97,2018/11/19 05:00:00+00,,routine
30998663,2F5EC737-5056-A20F-9EBA8C9940B63277,97.5,2018/11/19 05:00:00+00,,routine
30998664,496310,97.5,2018/11/19 05:00:00+00,,routine
30998665,CBBC047B-D49D-09A0-76850528BCD6E53C,97.5,2018/11/19 05:00:00+00,,routine
30998666,502017,97.5,2018/11/19 05:00:00+00,,routine
30998667,F49D453A-3048-9838-60B0C4F8667BE9EE,98,2018/11/19 05:00:00+00,,routine
30998668,496636,98.5,2018/11/19 05:00:00+00,,routine
30998669,C210DA52-5056-A20B-FAEBC0201D2CB027,91,2018/11/20 05:00:00+00,,routine
30998670,7111AA91-C38E-66BB-4885C77719D7819B,92,2018/11/20 05:00:00+00,,routine
30998671,636CA54D-1422-201B-19E76B3D974EEB11,95,2018/11/20 05:00:00+00,,routine
30998672,501348,96,2018/11/20 05:00:00+00,,routine
30998673,501074,96,2018/11/20 05:00:00+00,,routine
30998674,07AF62B1-CFE4-B82A-57CE42A324E9E64E,96,2018/11/20 05:00:00+00,,routine
30998675,6BC8C5E5-9738-A7E9-7194E8CC0328C643,96,2018/11/20 05:00:00+00,,routine
30998676,E5393B69-D3BC-3630-FFFF7EB5C5336273,91.5,2018/11/27 05:00:00+00,,routine
30998677,496147,97,2018/11/20 05:00:00+00,,routine
30998678,4E3C5522-DC6D-2269-BFFA763D21DAF138,97,2018/11/20 05:00:00+00,,routine
30998679,CA9B1C48-E29B-EEC9-691F5D387DF195E1,97,2018/11/20 05:00:00+00,,routine
30998680,950C4FE8-D9B4-FD10-3F9C9ECA1EAFEA76,97.5,2018/11/19 05:00:00+00,,routine
30998681,EB4C5AC7-5056-A20F-9EBA564D4F6C6F7D,97.5,2018/11/20 05:00:00+00,,routine
30998682,6F0731F4-5056-A20B-FA1F9E3C69A5EF50,98,2018/11/20 05:00:00+00,,routine
30998683,7ED3B4E3-0C48-BA51-7DA047580E608266,98,2018/11/20 05:00:00+00,,routine
30998684,7DC63E0F-A7CA-0BFE-50A9C9AA37F5DF54,98,2018/11/20 05:00:00+00,,routine
30998685,666190F8-5056-A20B-FAB6FA202294367A,98,2018/11/20 05:00:00+00,,routine
30998686,97A4E859-9E14-2F5A-28FD40A5EBE2DF3E,98,2018/11/20 05:00:00+00,,routine
30998687,4792D14A-5056-A20B-FAE38C8458910288,98,2018/11/20 05:00:00+00,,routine
30998688,D5399E1E-5056-A20F-9EAEAE51C1FB3FD6,95.5,2019/01/08 05:00:00+00,,routine
30998689,24DFC52B-DF95-E057-F5E86C289DE08AF1,95.5,2019/01/08 05:00:00+00,,routine
30998690,F9AC9635-F6F0-55FC-2345136B10105603,96,2019/01/08 05:00:00+00,,routine
30998691,6522A27C-5056-A20F-9E582AFBA03DB9F6,98.5,2018/11/20 05:00:00+00,,routine
30998692,CF62B2FC-5056-A20B-FA306E816A637DB8,98.5,2018/11/20 05:00:00+00,,routine
30998693,D02493D0-5056-A20B-FA8CFA08B8B4FD87,98.5,2018/11/20 05:00:00+00,,routine
30998694,495202,91,2018/11/29 05:00:00+00,,routine
30998695,02D08C2F-5056-A20F-9EDC776D13E3086F,90,2018/11/29 05:00:00+00,,followup
30998696,D92E3E80-3048-9933-8016F8FD534E7E10,92,2018/11/29 05:00:00+00,,routine
30998697,4DD48454-E096-9B1D-1F9569D81C76345B,92,2018/11/29 05:00:00+00,,routine
30998698,83347587-5056-A20F-9ECBA6007B24703E,93,2018/11/29 05:00:00+00,,routine
30998699,458F62A9-AA75-FFFF-B0ED188A8E5FF14C,97.5,2019/02/14 05:00:00+00,,routine
30998700,501471,97.5,2019/02/14 05:00:00+00,,routine
30998701,61F94469-5056-A20B-FA55E0367F90D86C,99,2018/11/20 05:00:00+00,,routine
30998702,683DD75A-D90B-06DE-AF0C2A94AE9606D3,,2018/11/05 05:00:00+00,,routine
30998703,C5CBE5F9-5056-A20B-FA53389171E7F32A,82,2018/11/26 05:00:00+00,,routine
30998704,846B68F7-5056-A20F-9EEB4409B06C05E5,90,2018/11/26 05:00:00+00,,routine
30998705,B2ECF85C-5056-A20B-FA7DBBF70F85B1A7,91,2018/11/26 05:00:00+00,,routine
30998706,495521,91.5,2018/11/26 05:00:00+00,,routine
30998707,D37DE0F4-FB5D-6A9A-BF9C6645BED54268,93,2018/11/26 05:00:00+00,,routine
30998708,1EEE7FE4-DE79-1BF7-649F593EF1F6A8A5,93.5,2018/11/26 05:00:00+00,,routine
30998709,495278,93.5,2018/11/26 05:00:00+00,,routine
30998710,4B90B6A7-C81B-035E-F29BC82EC763B578,93.5,2018/11/26 05:00:00+00,,routine
30998711,496299,87.5,2018/11/21 05:00:00+00,,routine
30998712,940EFB76-5056-A20B-FA39499A3ADC67F6,92,2018/11/21 05:00:00+00,,routine
30998713,508968,92,2018/11/21 05:00:00+00,,routine
