OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS,SHAPE
3455144,04092010533,O'Charleys,101 ASHVILLE AVE ,,CARY,NC,27511-6606,(919) 851-9777,1991/04/22 04:00:00+00,Restaurant,7,-78.78354569,35.73867835,M,
3455145,04092010618,Roast Grill,7 S WEST ST ,,RALEIGH,NC,27603-1831,(919) 832-8292,1991/04/22 04:00:00+00,Restaurant,16,-78.64564339,35.78023101,M,
3455146,04092014098,Assaggio's Pizzeria Ristorante,7417 Sunset Lake RD ,,FUQUAY VARINA,NC,27526,(919) 557-9505,2004/07/19 04:00:00+00,Restaurant,53,-78.77604193,35.59548914,M,
3455147,04092013461,Pine Hollow Golf Club Food Service,3300 GARNER RD ,,CLAYTON,NC,27520-9306,(919) 553-4554,2001/11/30 05:00:00+00,Restaurant,71,-78.50771752,35.67976452,M,
3455148,04092012056,Torero's Mexican Restaurant V,1207-C Kildaire Farm Rd ,,CARY,NC,27511,(919) 468-8711,1997/06/03 04:00:00+00,Restaurant,80,-78.78219418,35.76380551,M,
3455149,04092110110,Southeast Raleigh H.S.Cafeteria,2600 ROCK QUARRY RD ,,RALEIGH,NC,27610-5102,(919) 856-2800 ext. 24980,1997/07/28 04:00:00+00,Public School Lunchrooms,105,-78.60409689,35.74535559,M,
3455150,04092010037,AUBREY & PEEDIE'S GRILL,38 N Main ST ,,WENDELL,NC,27591,(919) 365-5528,1991/04/25 04:00:00+00,Restaurant,149,-78.36945556,35.78246291,M,
3455151,04092010070,Bojangles # 3,1013 NEW BERN AVE ,,RALEIGH,NC,27601-1605,(919) 821-3735,1991/04/25 04:00:00+00,Restaurant,153,-78.62298982,35.78024775,M,
3455152,04092010262,First Baptist Church,99 N SALISBURY ST ,,RALEIGH,NC,27603-1737,(919) 961-5953,1991/04/25 04:00:00+00,Restaurant,172,-78.64073856,35.78096884,M,
3455153,04092010845,42nd St Oyster Bar,508 W JONES ST ,,RALEIGH,NC,27603-1429,(919) 831-2811,1991/04/25 04:00:00+00,Restaurant,173,-78.64633472,35.78312867,M,
3455154,04092010274,Franks Pizza Restaurant,2030 NEW BERN AVE ,,RALEIGH,NC,27610-2429,(919) 231-8990,1991/04/25 04:00:00+00,Restaurant,174,-78.60562466,35.77870975,M,
3455155,04092010548,William Peace University Cafeteria,15 E Peace St ,,RALEIGH,NC,27604-1176,(919) 508-2342,1991/04/29 04:00:00+00,Restaurant,202,-78.63745155,35.78928458,M,
3455156,04092010065,Biscuitville,2426 Wake Forest Rd,,RALEIGH,NC,27608-1710,(919) 821-2060,1991/04/29 04:00:00+00,Restaurant,211,-78.62569015,35.81542941,M,
3455157,04092010076,The Border Restaurant,712 N Main St,,WAKE FOREST,NC,27587,(919) 556-2125,1991/04/29 04:00:00+00,Restaurant,217,-78.50484966,35.98936312,M,
3455158,04092010189,North Raleigh Courtyard By Marriott,1041 WAKE TOWNE DR ,,RALEIGH,NC,27609-7850,(919) 821-3400,1991/04/29 04:00:00+00,Restaurant,222,-78.62297698,35.82408017,M,
3455159,04092010658,Shortys,214 S White ST ,,WAKE FOREST,NC,27587,(919) 556-8026,1991/04/29 04:00:00+00,Restaurant,247,-78.51012825,35.9776018,M,
3455160,04092020121,Han-Dee Hugo's #47,4120 GLENWOOD AVE ,,RALEIGH,NC,27612-4626,(919) 881-9246,1991/04/29 04:00:00+00,Food Stand,276,-78.67250612,35.83777708,M,
3455161,04092020237,Snoopy's # 1,1931 Wake Forest Rd,,RALEIGH,NC,27608-2731,(919) 833-0992,1991/04/29 04:00:00+00,Food Stand,288,-78.62502323,35.80726583,M,
3455162,04092010661,Side Street Restaurant,225 N Bloodworth St ,,RALEIGH,NC,27601-1105,(919) 828-4927,1991/04/29 04:00:00+00,Restaurant,292,-78.63331248,35.78351542,M,
3455163,04092010795,Watkins Grill,1625 Wake Forest Rd,,RALEIGH,NC,27604-1332,(919) 834-0467,1991/05/01 04:00:00+00,Restaurant,305,-78.62518839,35.80177809,M,
3455164,04092090004,Wendell Senior Nutrition Site,323 LAKE DR ,,WENDELL,NC,27591-9492,(919) 365-4684,1991/05/01 04:00:00+00,Elderly Nutrition Sites (catered),308,-78.36549422,35.77892574,M,
3455165,04092012113,China Chef,930 US 64 HWY W ,,APEX,NC,27523,(919) 468-8982,1997/08/08 04:00:00+00,Restaurant,313,-78.820808,35.74557219,M,
3455166,04092110109,Olive Chapel Elementary Cafeteria,1751 OLIVE CHAPEL RD ,,APEX,NC,27502-4862,(919) 387-4449,1997/08/14 04:00:00+00,Public School Lunchrooms,316,-78.89411789,35.73463652,M,
3455167,04092012198,Windsor Point Restaurant,1221 BROAD ST,,FUQUAY VARINA,NC,27526-3602,(919) 552-4580,1998/02/27 05:00:00+00,Restaurant,330,-78.8037686,35.60086921,M,
3455168,04092012200,N.Y.Pizza,6458 TRYON RD,,CARY,NC,27518,(919) 852-2242,1998/02/05 05:00:00+00,Restaurant,332,-78.76155635,35.7455991,M,
3455169,04092020037,Circle K #8524,3948 NEW BERN AVE ,,RALEIGH,NC,27610-1333,(919) 231-8060,1991/05/01 04:00:00+00,Food Stand,351,-78.56881441,35.79852716,M,
3455170,04092110017,Brassfield Road Elem. Cafeteria,2001 BRASSFIELD RD ,,RALEIGH,NC,27614-9453,(919) 870-4080 ext. 24076,1991/05/01 04:00:00+00,Public School Lunchrooms,385,-78.63034222,35.93350013,M,
3455171,04092110016,Leadmine Elementary Cafeteria,8301 OLD LEAD MINE RD ,,RALEIGH,NC,27615-2930,(919) 870-4120 ext. 21182,1991/09/17 04:00:00+00,Public School Lunchrooms,438,-78.65713488,35.89158773,M,
3455172,04092110085,Lynn Road Elem. Cafeteria,1601 LYNN RD ,,RALEIGH,NC,27612-6820,(919) 870-4074 ext. 20860,1991/09/17 04:00:00+00,Public School Lunchrooms,439,-78.66786888,35.87032856,M,
3455173,04092110020,Joyner Elementary Cafeteria,2300 LOWDEN ST ,,RALEIGH,NC,27608-0707,(919) 856-7650 ext. 21606,1991/09/17 04:00:00+00,Public School Lunchrooms,452,-78.63298548,35.81521458,M,
3455174,04092010989,Los Tres Magueyes,110 SW MAYNARD RD ,,CARY,NC,27511-4402,(919) 460-8757,1992/01/16 05:00:00+00,Restaurant,468,-78.78312285,35.77217517,M,
3455175,04092010870,Taylor's Convenience Store,10005 SIX FORKS RD ,,RALEIGH,NC,27615-1636,(919) 847-3069,1992/01/17 05:00:00+00,Restaurant,472,-78.65046954,35.91578847,M,
3455176,04092010851,Parkside,301 W MARTIN ST,,RALEIGH,NC,27601-1352,(984) 232-8969,1991/07/10 04:00:00+00,Restaurant,534,-78.64378688,35.77679384,M,
3455177,04092011099,Barrys Cafe,2851 Jones Franklin RD ,,RALEIGH,NC,27606-4346,(919) 859-3555,1992/05/18 04:00:00+00,Restaurant,549,-78.7377362,35.74360868,M,
3455178,04092011173,BOJANGLES #15,5409 CAPITAL BLVD ,,RALEIGH,NC,27616-2929,(919) 872-5820,1992/11/03 05:00:00+00,Restaurant,553,-78.582482,35.85985466,M,
3455179,04092011181,NC Farm Bureau Cafeteria,5301 GLENWOOD AVE ,,RALEIGH,NC,27612-3244,(919) 781-0547,1992/11/13 05:00:00+00,Restaurant,562,-78.69210811,35.84689265,M,
3455180,04092011186,Kashin Restaurant,309 CROSSROADS BLVD ,,CARY,NC,27511-6894,(919) 851-7101,1992/11/25 05:00:00+00,Restaurant,571,-78.73871469,35.76064643,M,
3455181,04092011192,Subway #12044,235 TIMBER DR,,GARNER,NC,27529-4870,(919) 779-6820,1992/12/01 05:00:00+00,Restaurant,574,-78.60613274,35.68500311,M,
3455182,04092012307,Starbucks,3101 EDWARDS MILL RD ,,RALEIGH,NC,27612-5303,(919) 789-4922,1998/08/07 04:00:00+00,Restaurant,601,-78.70695545,35.82544758,M,
3455183,04092013462,Paolo's,101 - 500 Keybridge St,,MORRISVILLE,NC,27560,(919) 678-9030,2001/11/26 05:00:00+00,Restaurant,617,-78.8227355,35.82037975,M,
3455184,04092110111,Carver Elementary Lunchroom,291 LILES DEAN RD ,,WENDELL,NC,27591-9034,(919) 365-2680 ext. 22963,1998/07/20 04:00:00+00,Public School Lunchrooms,645,-78.38664164,35.79067957,M,
3455185,04092020145,Caspian International Food Mart,2909 Brentwood Rd ,,RALEIGH,NC,27604,(919) 954-0029,1991/05/08 04:00:00+00,Food Stand,687,-78.59681449,35.81969625,M,
3455186,04092010495,Milton's Pizza House,8853 SIX FORKS RD ,,RALEIGH,NC,27615-2970,(919) 847-0604,1991/05/09 04:00:00+00,Restaurant,711,-78.65461063,35.89932731,M,
3455187,04092020845,Papa John's,6470 TRYON RD ,,CARY,NC,27511-7050,(919) 851-5656,1998/06/29 04:00:00+00,Food Stand,723,-78.76135102,35.74433027,M,
3455188,04092012279,KANKI JAPANESE HOUSE OF STEAKS AND SUSHI,4325 Glenwood Ave ,,RALEIGH,NC,27612,(919) 782-9708,1998/07/30 04:00:00+00,Restaurant,731,-78.67900996,35.83931725,M,
3455189,04092010549,The Peddler Steak House,6005 GLENWOOD AVE ,,RALEIGH,NC,27612-2636,(919) 787-6980,1991/05/13 04:00:00+00,Restaurant,742,-78.70153994,35.85400324,M,
3455190,04092010617,Rex Hospital Cafeteria,4420 Lake Boone TRL ,,RALEIGH,NC,27607-6599,(919) 784-4173,1991/05/13 04:00:00+00,Restaurant,752,-78.70241812,35.81817357,M,
3455191,04092010708,Subway,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 787-7981,1991/05/13 04:00:00+00,Restaurant,766,-78.70472779,35.86043849,M,
3455192,04092010815,Wildwood Green Snack Bar,3000 Ballybunion Way ,,RALEIGH,NC,27612,(919) 846-5380,1991/05/13 04:00:00+00,Restaurant,778,-78.68572854,35.91006573,M,
3455193,04092012900,Los Tres Vaqueros,7909-109 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-3348,(919) 846-6666,1999/03/26 04:00:00+00,Restaurant,785,-78.62599455,35.89329706,M,
3455194,04092012901,Links Grille At Lochmere,2511 KILDAIRE FARM RD,,CARY,NC,27511-9611,(919) 851-0611,1999/03/29 04:00:00+00,Restaurant,786,-78.76802044,35.72297344,M,
3455195,04092012930,PTA Of Wake Forest,12277 CAPITAL BLVD ,,WAKE FOREST,NC,27587-6200,(919) 554-1400,1999/05/17 04:00:00+00,Restaurant,814,-78.54097708,35.98087662,M,
3455196,04092010827,Winston's Grille,6401 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6812,(919) 790-0700,1991/05/08 04:00:00+00,Restaurant,422,-78.62162989,35.86964481,M,
